月份,场景说明,产品名称,产线,标准产量,实际产量,机器工时标准,机器工时实际,人工工时标准,人工工时实际,直接材料标准,直接材料实际,直接人工标准,直接人工实际,变动制造费用标准,变动制造费用实际,固定制造费用标准,固定制造费用实际,标准单位成本,实际单位成本,单位成本差异,月标准总成本,月实际总成本
2026年7月,需求不足，产能利用率低,仪表板总成,A1,5000,4500,0.5,0.55,0.5,0.55,4461.41,4684.48,20.0,22.0,29.615384615384617,32.58,307.8703703703704,342.08,4818.9,5081.14,262.24,24094500.0,22865130.0
2026年7月,需求不足，产能利用率低,中控台总成,A1,3000,2700,0.5,0.55,0.5,0.55,6997.5,7347.37,20.0,22.0,29.615384615384617,32.58,307.8703703703704,342.08,7354.99,7744.03,389.04,22064970.0,20908881.0
2026年7月,需求不足，产能利用率低,地毯总成,A1,4000,3600,0.5,0.55,0.5,0.55,5489.42,5763.89,20.0,22.0,29.615384615384617,32.58,307.8703703703704,342.08,5846.91,6160.55,313.64,23387640.0,22177980.0
2026年7月,需求不足，产能利用率低,发动机底护板,A1,6000,5400,0.5,0.55,0.5,0.55,4918.31,5164.22,20.0,22.0,29.615384615384617,32.58,307.8703703703704,342.08,5275.8,5560.88,285.08,31654800.0,30028752.0
2026年7月,需求不足，产能利用率低,门内护板总成,A2,8000,7200,0.5,0.55,0.5,0.55,7379.71,7748.7,20.0,22.0,29.615384615384617,32.58,307.8703703703704,342.08,7737.2,8145.36,408.16,61897600.0,58646592.0
2026年7月,需求不足，产能利用率低,立柱饰板总成,A2,5000,4500,0.5,0.55,0.5,0.55,5491.09,5765.65,20.0,22.0,29.615384615384617,32.58,307.8703703703704,342.08,5848.58,6162.31,313.73,29242900.0,27730395.0
2026年7月,需求不足，产能利用率低,天窗遮阳板总成,A2,3000,2700,0.5,0.55,0.5,0.55,4335.03,4551.78,20.0,22.0,29.615384615384617,32.58,307.8703703703704,342.08,4692.52,4948.44,255.92,14077560.0,13360788.0
2026年7月,需求不足，产能利用率低,空调出风口总成,A3,12000,10800,0.5,0.55,0.5,0.55,4089.23,4293.69,20.0,22.0,29.615384615384617,32.58,307.8703703703704,342.08,4446.72,4690.35,243.63,53360640.0,50655780.0
2026年7月,需求不足，产能利用率低,行李箱饰板总成,A3,4000,3600,0.5,0.55,0.5,0.55,5189.64,5449.13,20.0,22.0,29.615384615384617,32.58,307.8703703703704,342.08,5547.13,5845.79,298.66,22188520.0,21044844.0
2026年7月,需求不足，产能利用率低,轮罩饰板总成,A3,3000,2700,0.5,0.55,0.5,0.55,6074.76,6378.49,20.0,22.0,29.615384615384617,32.58,307.8703703703704,342.08,6432.25,6775.15,342.9,19296750.0,18292905.0
2026年8月,订单暴增，加班赶工，油价上涨,仪表板总成,A1,5000,7500,0.5,0.65,0.5,0.7,4461.41,5501.25,20.0,33.6,29.615384615384617,40.43,307.8703703703704,205.25,4818.9,5780.53,961.63,24094500.0,43353975.0
2026年8月,订单暴增，加班赶工，油价上涨,中控台总成,A1,3000,4500,0.5,0.65,0.5,0.7,6997.5,8386.72,20.0,33.6,29.615384615384617,40.43,307.8703703703704,205.25,7354.99,8666.0,1311.01,22064970.0,38997000.0
2026年8月,订单暴增，加班赶工，油价上涨,地毯总成,A1,4000,6000,0.5,0.65,0.5,0.7,5489.42,6830.3,20.0,33.6,29.615384615384617,40.43,307.8703703703704,205.25,5846.91,7109.58,1262.67,23387640.0,42657480.0
2026年8月,订单暴增，加班赶工，油价上涨,发动机底护板,A1,6000,9000,0.5,0.65,0.5,0.7,4918.31,6183.55,20.0,33.6,29.615384615384617,40.43,307.8703703703704,205.25,5275.8,6462.83,1187.03,31654800.0,58165470.0
2026年8月,订单暴增，加班赶工，油价上涨,门内护板总成,A2,8000,12000,0.5,0.65,0.5,0.7,7379.71,9158.28,20.0,33.6,29.615384615384617,40.43,307.8703703703704,205.25,7737.2,9437.56,1700.36,61897600.0,113250720.0
2026年8月,订单暴增，加班赶工，油价上涨,立柱饰板总成,A2,5000,7500,0.5,0.65,0.5,0.7,5491.09,7028.69,20.0,33.6,29.615384615384617,40.43,307.8703703703704,205.25,5848.58,7307.97,1459.39,29242900.0,54809775.0
2026年8月,订单暴增，加班赶工，油价上涨,天窗遮阳板总成,A2,3000,4500,0.5,0.65,0.5,0.7,4335.03,5453.1,20.0,33.6,29.615384615384617,40.43,307.8703703703704,205.25,4692.52,5732.38,1039.86,14077560.0,25795710.0
2026年8月,订单暴增，加班赶工，油价上涨,空调出风口总成,A3,12000,18000,0.5,0.65,0.5,0.7,4089.23,5225.2,20.0,33.6,29.615384615384617,40.43,307.8703703703704,205.25,4446.72,5504.48,1057.76,53360640.0,99080640.0
2026年8月,订单暴增，加班赶工，油价上涨,行李箱饰板总成,A3,4000,6000,0.5,0.65,0.5,0.7,5189.64,6322.43,20.0,33.6,29.615384615384617,40.43,307.8703703703704,205.25,5547.13,6601.71,1054.58,22188520.0,39610260.0
2026年8月,订单暴增，加班赶工，油价上涨,轮罩饰板总成,A3,3000,4500,0.5,0.65,0.5,0.7,6074.76,7344.5,20.0,33.6,29.615384615384617,40.43,307.8703703703704,205.25,6432.25,7623.78,1191.53,19296750.0,34307010.0
