月份,产品名称,产线,实际产量,材料价格差异,材料用量差异,材料差异合计,人工工资率差异,人工效率差异,人工差异合计,变动制造费用耗费差异,变动制造费用效率差异,变动制造费用差异合计,固定制造费用耗费差异,固定制造费用产能差异,固定制造费用差异合计,总差异合计
2026年7月,仪表板总成,A1,4500,0.0,223.11,223.11,0.0,2.0,2.0,0.0,2.96,2.96,0.0,34.21,34.21,262.28
2026年7月,中控台总成,A1,2700,0.0,349.96,349.96,0.0,2.0,2.0,0.0,2.96,2.96,0.0,34.21,34.21,389.13
2026年7月,地毯总成,A1,3600,0.0,273.91,273.91,0.0,2.0,2.0,0.0,2.96,2.96,0.0,34.21,34.21,313.08
2026年7月,发动机底护板,A1,5400,0.0,246.08,246.08,0.0,2.0,2.0,0.0,2.96,2.96,0.0,34.21,34.21,285.25
2026年7月,门内护板总成,A2,7200,0.0,369.0,369.0,0.0,2.0,2.0,0.0,2.96,2.96,0.0,34.21,34.21,408.17
2026年7月,立柱饰板总成,A2,4500,0.0,274.53,274.53,0.0,2.0,2.0,0.0,2.96,2.96,0.0,34.21,34.21,313.7
2026年7月,天窗遮阳板总成,A2,2700,0.0,216.46,216.46,0.0,2.0,2.0,0.0,2.96,2.96,0.0,34.21,34.21,255.63
2026年7月,空调出风口总成,A3,10800,0.0,204.67,204.67,0.0,2.0,2.0,0.0,2.96,2.96,0.0,34.21,34.21,243.84
2026年7月,行李箱饰板总成,A3,3600,0.0,259.64,259.64,0.0,2.0,2.0,0.0,2.96,2.96,0.0,34.21,34.21,298.81
2026年7月,轮罩饰板总成,A3,2700,0.0,303.67,303.67,0.0,2.0,2.0,0.0,2.96,2.96,0.0,34.21,34.21,342.84
2026年8月,仪表板总成,A1,7500,682.9,356.89,1039.79,5.6,8.0,13.6,1.93,8.88,10.81,0.0,-102.62,-102.62,961.58
2026年8月,中控台总成,A1,4500,829.44,560.08,1389.52,5.6,8.0,13.6,1.93,8.88,10.81,0.0,-102.62,-102.62,1311.31
2026年8月,地毯总成,A1,6000,901.7,438.96,1340.66,5.6,8.0,13.6,1.93,8.88,10.81,0.0,-102.62,-102.62,1262.45
2026年8月,发动机底护板,A1,9000,871.78,393.53,1265.31,5.6,8.0,13.6,1.93,8.88,10.81,0.0,-102.62,-102.62,1187.1
2026年8月,门内护板总成,A2,12000,1188.12,590.15,1778.27,5.6,8.0,13.6,1.93,8.88,10.81,0.0,-102.62,-102.62,1700.06
2026年8月,立柱饰板总成,A2,7500,1098.28,439.16,1537.44,5.6,8.0,13.6,1.93,8.88,10.81,0.0,-102.62,-102.62,1459.23
2026年8月,天窗遮阳板总成,A2,4500,771.26,346.67,1117.93,5.6,8.0,13.6,1.93,8.88,10.81,0.0,-102.62,-102.62,1039.72
2026年8月,空调出风口总成,A3,18000,808.85,327.26,1136.11,5.6,8.0,13.6,1.93,8.88,10.81,0.0,-102.62,-102.62,1057.9
2026年8月,行李箱饰板总成,A3,6000,717.66,415.32,1132.98,5.6,8.0,13.6,1.93,8.88,10.81,0.0,-102.62,-102.62,1054.77
2026年8月,轮罩饰板总成,A3,4500,783.76,486.02,1269.78,5.6,8.0,13.6,1.93,8.88,10.81,0.0,-102.62,-102.62,1191.57
